tempo_h;X_g_L;S_g_L;P_g_L
16,250000;15,772266;172,241908;22,158399
16,300000;15,905232;171,767027;22,357849
16,350000;16,039297;171,288226;22,558945
16,400000;16,174467;170,805474;22,761701
16,450000;16,310753;170,318739;22,966129
16,500000;16,448162;169,827992;23,172243
16,550000;16,586704;169,333201;23,380055
16,600000;16,726386;168,834335;23,589579
16,650000;16,867219;168,331362;23,800828
16,700000;17,009210;167,824251;24,013815
16,750000;17,152368;167,312970;24,228553
16,800000;17,296704;166,797487;24,445056
16,850000;17,442225;166,277769;24,663337
16,900000;17,588940;165,753785;24,883410
16,950000;17,736860;165,225501;25,105290
17,000000;17,885992;164,692885;25,328988
17,050000;18,036347;164,155904;25,554520
17,100000;18,187933;163,614525;25,781899
17,150000;18,340760;163,068715;26,011140
17,200000;18,494837;162,518440;26,242255
17,250000;18,650174;161,963665;26,475261
17,300000;18,806780;161,404359;26,710169
17,350000;18,964664;160,840485;26,946996
17,400000;19,123837;160,272011;27,185755
17,450000;19,284308;159,698902;27,426461
17,500000;19,446086;159,121122;27,669129
17,550000;19,609181;158,538638;27,913772
17,600000;19,773604;157,951413;28,160406
17,650000;19,939364;157,359414;28,409046
17,700000;20,106471;156,762605;28,659706
17,750000;20,274934;156,160949;28,912401
17,800000;20,444764;155,554413;29,167147
17,850000;20,615971;154,942961;29,423956
17,900000;20,788564;154,326556;29,682846
17,950000;20,962554;153,705163;29,943831
18,000000;21,137951;153,078745;30,206927
18,050000;21,314766;152,447265;30,472149
18,100000;21,493008;151,810687;30,739511
18,150000;21,672687;151,168974;31,009031
18,200000;21,853815;150,522089;31,280722
18,250000;22,036401;149,869996;31,554602
18,300000;22,220456;149,212658;31,830684
18,350000;22,405990;148,550036;32,108985
18,400000;22,593013;147,882096;32,389520
18,450000;22,781536;147,208798;32,672305
18,500000;22,971570;146,530107;32,957355
18,550000;23,163124;145,845985;33,244686
18,600000;23,356210;145,156394;33,534315
18,650000;23,550837;144,461296;33,826256
18,700000;23,747017;143,760655;34,120525
18,750000;23,944759;143,054433;34,417138
18,800000;24,144074;142,342592;34,716112
18,850000;24,344974;141,625093;35,017461
18,900000;24,547468;140,901900;35,321202
18,950000;24,751567;140,172975;35,627351
19,000000;24,957282;139,438278;35,935923
19,050000;25,164624;138,697773;36,246935
